2026-02-02 16:41:58 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:58 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:41:59 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:59 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:00 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:42:00 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:42:03 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:04 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:05 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:42:06 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:06 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:07 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:07 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:08 | INFO     | src.config:save:178 - 配置保存成功: config/config.yaml
2026-02-02 16:42:08 | INFO     | src.core.ws_client:disconnect:69 - 已断开连接: 可爱机器人服务
2026-02-02 16:42:08 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:42:08 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:42:09 | INFO     | src.config:save:178 - 配置保存成功: config/config.yaml
